"147","6 x 20mm SCREW","15888",1000,"BF-16"
"148","6 X 25MM HEX HEAD SCREW","SSM625Z8",800,"BF-16"
"149","6MM EXTERNAL TOOTH WASHER ZP ","WETM6Z",0,"BF-16"
"150","6MM INTERNAL TOOTH WASHER ZP ","WITM6Z",0,"BF-16"
"151","M6 X 20 MACHINE SCREWS PAN SLO","MTM620PSBR",1000,"BF-16"
"152","M6 X 30 MACHINE SCREWS PAN ","MTM630PSBR",800,"BF-16"
"153","6MM FL BR WASHER","WFM6BR",0,"BF-16"
"154","6MM BRASS NUT","NM6BR",400,"BF-16"
"155","SCREW M8 X 40 HEX SET 8.8 H/T","060609C30",1000,"BF-16"
"156","SCREW SET HIGHTENSILE GR8.8 8x50MM","30208",300,"BF-16"
"157","M8 X 75MM SCREW","SSM875Z8",200,"BF-16"
"158","M8 x 3 x 2.0 SPRING WASHER ZP","33042",1729,"BF-16"
"159","WSH-FL-AS1237-BRIGHT-NORMAL- (A2K)-D8-4R","8347",4800,"BF-16"
"160","5/16 X 1 1/4 X 16G FLAT WASHER","WF51611416Z",3600,"BF-16"
"161","M10 X 40MM SCREW","SSM1040Z8",300,"BF-16"
"162","M10 X 50MM SCREW","SSM1050ZP",225,"BF-16"
"163","M10 X 120MM SCREW","SSM10120ZP",100,"BF-16"
"164","WASHER SPRING COIL ZINC (STD) MM 10X3.5X2.2","33045",400,"BF-16"
"165","10mm Flat washer","8348",800,"BF-16"
"166","Lockwasher 10mm internal","WITM10Z",0,"BF-16"
"167","M12 HEX NUT CL 8 ZP","3181",700,"BF-16"
"168","M6 X 25 GRUB SCREW","GSM625P",80,"BF-16"
"169","M8 X 25 GRUB SCREW","GSM825P",500,"BF-16"
"170","M10 X 25 GRUB SCREW","GSM1025P",0,"BF-16"
"171","SCREW 8-18 X 12 METAL SDS BUTTON WAFER HEAD ","TSB812ZY",2000,"BF-16"
"172","12mm SADDLE MOUNTING SCREW","TSP8127",0,"BF-16"
"173","8G X 1 IN PAN XR SELF TAPPING SCREW ZP","ST81PXZ",2000,"BF-16"
"174","M8 X 45MM SCREW","SSM845S",700,"BF-16"
"175","6MM SP WASHER SS","WSM6S",0,"BF-16"
"176","8MM SP WASHER SS","WSM8S",0,"BF-16"
"177","10MM SP WASHER SS","WSM10S",0,"BF-16"
"178","6MM FL WASHER SS","WFM6S",0,"BF-16"
"179","8MM FL WASHER SS","363400108",0,"BF-16"
"180","8MM NUT SS","NM8S",0,"BF-16"
"181","Self Tapping Screw 5mm x 12","TTM512PZZ",0,"BF-16"
